,0
0,94.0
1,135.0
2,172.0
3,135.0
4,68.0
5,55.0
6,137.0
7,82.0
8,96.0
9,19.0
10,18.0
11,11.0
12,31.0
13,109.0
14,66.0
15,62.0
16,75.0
17,
18,
19,
20,
21,
22,43.0
23,54.0
24,48.0
25,23.0
26,44.0
27,
28,
29,
30,
31,46.0
32,63.0
33,99.0
34,206.0
35,127.0
36,101.0
37,42.0
38,99.0
39,56.0
40,25.0
41,26.0
42,36.0
43,56.0
44,63.0
45,63.0
46,46.0
47,40.0
48,79.0
49,110.0
50,68.0
51,95.0
52,87.0
53,97.0
54,59.0
55,61.0
56,69.0
57,111.0
58,101.0
59,64.0
60,58.0
61,
62,27.0
63,32.0
64,39.0
65,47.0
66,35.0
67,55.0
68,56.0
69,121.0
70,100.0
71,102.0
72,117.0
73,55.0
74,8.0
75,15.0
76,32.0
77,17.0
78,35.0
79,42.0
80,37.0
81,25.0
82,22.0
83,36.0
84,60.0
85,36.0
86,56.0
87,75.0
88,53.0
89,70.0
90,
91,28.0
92,41.0
93,
94,
95,
96,
97,25.0
98,14.0
99,17.0
100,36.0
101,46.0
102,50.0
103,28.0
104,14.0
105,22.0
106,34.0
107,37.0
108,28.0
109,13.0
110,15.0
111,22.0
112,27.0
113,23.0
114,15.0
115,12.0
116,18.0
117,16.0
118,17.0
119,28.0
120,28.0
121,26.0
122,11.0
123,10.0
124,17.0
125,25.0
126,24.0
127,15.0
128,16.0
129,17.0
130,14.0
131,13.0
132,11.0
133,12.0
134,7.0
135,7.0
136,12.0
137,17.0
138,12.0
139,15.0
140,15.0
141,19.0
142,22.0
143,25.0
144,15.0
145,22.0
146,15.0
147,13.0
148,6.0
149,10.0
150,17.0
151,16.0
152,11.0
153,9.0
154,15.0
155,18.0
156,14.0
157,18.0
158,28.0
159,28.0
160,30.0
161,20.0
162,21.0
163,13.0
164,8.0
165,11.0
166,15.0
167,22.0
168,24.0
169,23.0
170,9.0
171,7.0
172,10.0
173,15.0
174,14.0
175,15.0
176,8.0
177,12.0
178,15.0
179,13.0
180,6.0
181,9.0
182,8.0
183,11.0
184,13.0
185,16.0
186,14.0
187,14.0
188,14.0
189,8.0
190,6.0
191,9.0
192,8.0
193,10.0
194,11.0
195,13.0
196,14.0
197,13.0
198,13.0
